               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019359,            0.084074,           0.0081567,              0.9517,             0.93019,             0.96086,             0.83703,            0.015568,            0.052296,           0.0058482,            0.008845,            0.008845,            0.008845
                  37,            0.019034,            0.081935,           0.0080581,             0.95176,             0.91966,             0.95479,             0.83087,             0.01618,            0.054787,           0.0060861,            0.008812,            0.008812,            0.008812
                  38,            0.019049,             0.08326,           0.0079089,             0.95026,             0.93111,             0.95738,             0.82709,            0.016774,            0.053743,            0.005935,            0.008779,            0.008779,            0.008779
                  39,            0.019349,            0.083568,           0.0079204,              0.9444,             0.91366,             0.95004,             0.82214,            0.016439,            0.056247,           0.0063222,            0.008746,            0.008746,            0.008746
                  40,            0.019489,            0.082695,           0.0077735,             0.94776,             0.90703,              0.9478,             0.81712,            0.017371,            0.057952,            0.006301,            0.008713,            0.008713,            0.008713
                  41,            0.019277,            0.082755,           0.0077824,             0.94606,             0.92878,              0.9575,             0.82833,             0.01598,            0.054634,           0.0058556,             0.00868,             0.00868,             0.00868
                  42,            0.018865,            0.080995,            0.007736,             0.95392,             0.92986,             0.95808,             0.83098,            0.015715,            0.053862,           0.0056724,            0.008647,            0.008647,            0.008647
                  43,            0.019628,            0.082702,           0.0076161,             0.95291,             0.92916,             0.96114,             0.83716,            0.014984,            0.051827,           0.0057212,            0.008614,            0.008614,            0.008614
                  44,             0.01885,             0.08004,           0.0076878,             0.95039,               0.927,             0.95726,             0.83886,            0.014858,            0.053017,           0.0058184,            0.008581,            0.008581,            0.008581
                  45,            0.018695,            0.081806,           0.0074419,             0.95543,             0.92473,              0.9582,             0.83926,            0.015363,            0.053704,           0.0055602,            0.008548,            0.008548,            0.008548
                  46,            0.018658,            0.079011,           0.0074797,             0.95061,             0.93388,             0.95858,             0.83706,            0.015781,            0.053438,           0.0055177,            0.008515,            0.008515,            0.008515
                  47,            0.018771,            0.079975,           0.0073224,             0.94956,             0.92819,             0.95564,             0.83149,            0.015901,            0.054596,           0.0055909,            0.008482,            0.008482,            0.008482
                  48,            0.018734,             0.08112,           0.0075186,             0.94716,             0.93682,             0.95716,             0.83325,            0.015946,            0.054377,           0.0054656,            0.008449,            0.008449,            0.008449
                  49,            0.017846,             0.07962,           0.0071733,             0.95205,             0.93054,             0.95932,             0.83951,             0.01502,            0.053327,             0.00546,            0.008416,            0.008416,            0.008416
                  50,            0.018353,            0.080796,           0.0074445,             0.95023,             0.93266,             0.95698,             0.83404,            0.015489,            0.053973,           0.0055164,            0.008383,            0.008383,            0.008383
                  51,            0.018271,            0.080051,           0.0073453,             0.94982,             0.93258,             0.95766,              0.8334,            0.015475,            0.053509,           0.0056243,             0.00835,             0.00835,             0.00835
                  52,            0.018197,             0.07828,           0.0071512,             0.95215,              0.9299,             0.95844,              0.8398,            0.015527,            0.053448,           0.0055884,            0.008317,            0.008317,            0.008317
                  53,            0.017775,            0.077848,           0.0072081,             0.94979,             0.93087,              0.9597,             0.84116,            0.015049,            0.053205,           0.0054985,            0.008284,            0.008284,            0.008284
                  54,            0.017901,            0.076831,           0.0071847,             0.94517,              0.9362,             0.95829,             0.84509,            0.014425,            0.053042,           0.0055607,            0.008251,            0.008251,            0.008251
                  55,            0.017484,            0.079633,           0.0070759,             0.94998,             0.93106,             0.95872,             0.84387,            0.014816,            0.052982,           0.0053509,            0.008218,            0.008218,            0.008218
                  56,            0.018106,            0.078444,           0.0069664,             0.94708,             0.92355,             0.95192,               0.826,            0.016048,            0.056689,           0.0055388,            0.008185,            0.008185,            0.008185
                  57,            0.017851,            0.076865,           0.0069805,             0.95296,             0.93358,             0.96062,             0.84283,            0.014551,            0.053188,            0.005257,            0.008152,            0.008152,            0.008152
                  58,            0.017091,            0.077499,           0.0070931,              0.9501,             0.92989,             0.95816,             0.83847,            0.015328,            0.054048,            0.005244,            0.008119,            0.008119,            0.008119
                  59,            0.017441,            0.078062,           0.0069593,             0.95156,             0.93192,             0.95781,             0.83861,            0.015221,            0.055074,           0.0053689,            0.008086,            0.008086,            0.008086
                  60,            0.017516,            0.076575,           0.0068038,              0.9462,             0.93747,             0.95875,             0.84491,            0.014338,            0.053248,           0.0053009,            0.008053,            0.008053,            0.008053
                  61,            0.017047,            0.076267,           0.0067939,             0.94812,             0.93157,              0.9586,             0.84577,             0.01451,            0.053947,           0.0053043,             0.00802,             0.00802,             0.00802
                  62,            0.016931,            0.075873,           0.0068282,              0.9508,             0.92898,             0.95549,             0.84431,            0.014458,            0.053648,           0.0053361,            0.007987,            0.007987,            0.007987
                  63,            0.017855,            0.077539,           0.0067081,             0.95224,             0.93818,             0.96146,             0.84812,            0.014383,            0.052555,           0.0051815,            0.007954,            0.007954,            0.007954
                  64,            0.017044,            0.076174,           0.0068207,             0.95498,              0.9311,              0.9591,             0.84671,            0.014366,            0.053401,            0.005256,            0.007921,            0.007921,            0.007921
                  65,            0.016985,            0.075177,           0.0065761,             0.95208,             0.93481,             0.95892,             0.84539,            0.014602,             0.05376,           0.0052744,            0.007888,            0.007888,            0.007888
                  66,            0.016861,            0.074729,           0.0066223,             0.95317,              0.9318,             0.95915,             0.84943,            0.014311,            0.053472,           0.0051555,            0.007855,            0.007855,            0.007855
                  67,            0.017105,             0.07677,           0.0066426,             0.94735,             0.93326,             0.95837,             0.84367,            0.014651,            0.053427,           0.0053495,            0.007822,            0.007822,            0.007822
                  68,             0.01707,            0.076296,           0.0063788,             0.95517,             0.93145,             0.95799,             0.84525,            0.014967,            0.053077,           0.0051685,            0.007789,            0.007789,            0.007789
                  69,             0.01674,            0.074762,           0.0065071,              0.9577,             0.93724,             0.96122,             0.85026,            0.014458,             0.05328,            0.005139,            0.007756,            0.007756,            0.007756
                  70,            0.016629,            0.074744,            0.006713,             0.95297,             0.93301,             0.95585,             0.84739,            0.014154,            0.053616,           0.0052435,            0.007723,            0.007723,            0.007723
                  71,             0.01647,            0.074114,           0.0063177,             0.95123,             0.93353,             0.95779,             0.84738,            0.014317,            0.054362,           0.0052804,             0.00769,             0.00769,             0.00769
                  72,            0.017147,            0.074857,           0.0064609,             0.94831,             0.92727,             0.95199,             0.83715,            0.014662,            0.056025,           0.0054149,            0.007657,            0.007657,            0.007657
                  73,             0.01676,            0.073982,           0.0063942,             0.95132,             0.93527,             0.95753,             0.84732,            0.014234,             0.05283,           0.0052441,            0.007624,            0.007624,            0.007624
